1,"""Câu 1: HTML thường được ví như ""khung xương"" của một trang web vì nó định nghĩa cấu trúc và nội dung cơ bản của trang đó.""",1,1,0,1,
2,"""Câu 2: Khả năng chính của ngôn ngữ CSS trong phát triển Web là thực hiện các logic tính toán và xử lý dữ liệu phức tạp.""",1,1,0,1,
3,"""Câu 3: JavaScript đóng vai trò cốt lõi trong việc tạo ra các tương tác và hành động động trên trình duyệt để tăng cường trải nghiệm người dùng.""",1,1,0,1,
4,"""Câu 4: Trong kiến trúc Web, ngôn ngữ PHP được sử dụng chủ yếu để xử lý hiển thị giao diện phía người dùng (Frontend).""",1,1,0,1,
5,"""Câu 5: Ba thành phần cốt lõi và không thể thiếu để xây dựng một trang web hoàn chỉnh hiện nay là HTML, CSS và JavaScript.""",1,1,0,1,
6,"""Câu 6: Thẻ <hr> trong HTML được sử dụng để tạo ra một đường kẻ ngang trên trình duyệt nhằm phân cách các nội dung văn bản.""",1,1,0,1,
7,"""Câu 7: Thẻ <span> là một phần tử khối (Block), có đặc điểm là luôn chiếm toàn bộ chiều ngang của dòng hiện tại.""",1,1,0,1,
8,"""Câu 8: Thuộc tính title trong HTML có chức năng hiển thị một cửa sổ chú thích nhỏ (Tooltip) khi người dùng di chuột vào phần tử đó.""",1,1,0,1,
9,"""Câu 9: Để tạo đường gạch chân cho văn bản trong CSS, chúng ta cần sử dụng giá trị bold cho thuộc tính text-decoration.""",1,1,0,1,
10,"""Câu 10: Thuộc tính background-image trong CSS được sử dụng để thiết lập một hình ảnh làm nền cho phần tử thay vì màu sắc đơn thuần.""",1,1,0,1,
11,"""Câu 11: Ý nghĩa của giá trị NaN khi xuất hiện trong các tính toán của JavaScript là gì?""",0,1,0,1,
12,"""Câu 12: Làm thế nào để kiểm tra một biến có phải là số hay không thông qua hàm isNaN()?""",0,1,0,1,
13,"""Câu 13: Cách sử dụng thuộc tính length để kiểm tra số lượng phần tử trong JavaScript?""",0,1,0,1,
14,"""Câu 14: Hàm str_replace() trong ngôn ngữ PHP thực hiện công việc gì?""",0,1,0,1,
15,"""Câu 15: Lệnh echo có nhiệm vụ gì khi xử lý dữ liệu trong ngôn ngữ PHP?""",0,1,0,1,
